k, n_agents, reward
1, 50, -432.9951122485818, 249.61795362199805
1, 75, -319.83185308018284, 130.14053520184876
1, 100, -229.15979292372407, 122.16289677324487
1, 125, -217.1340116775613, 95.3461704293501
1, 150, -172.14025454122398, 51.635444445613196
2, 50, -89.97712855183387, 108.03483725875923
2, 75, -55.540402898312344, 11.146641164414202
2, 100, -50.51020781200708, 12.566522373659023
2, 125, -46.76860348867619, 12.555701772579592
2, 150, -37.0106466777022, 3.232041202865438
3, 50, -73.35025660496456, 109.79197822945807
3, 75, -44.86283894212626, 4.923115098403242
3, 100, -40.95792156471694, 4.1560902247655385
3, 125, -41.15206481867972, 15.84355642218285
3, 150, -34.25862769738046, 2.3905789668612885
4, 50, -44.96090491863062, 8.438123529368031
4, 75, -41.707591033111626, 4.70898675648138
4, 100, -38.293215563303235, 3.1199301223969256
4, 125, -39.02082714295042, 14.76143649629966
4, 150, -34.26850178446582, 2.8046991044265575
