v_max, k, seed, reward
0.5, 1, 0, -38.369909796000044
0.5, 1, 1, -35.80783297650628
0.5, 1, 2, -37.9155644882152
0.5, 1, 3, -37.576981528818514
0.5, 1, 4, -34.73828896525677
0.5, 1, 5, -40.41308727692352
0.5, 1, 6, -41.503500525185856
0.5, 1, 7, -37.761897122223544
0.5, 1, 8, -34.170420530025254
0.5, 1, 9, -37.697514572331585
0.5, 2, 0, -20.745439070323936
0.5, 2, 1, -20.88855453827947
0.5, 2, 2, -21.49297097883097
0.5, 2, 3, -22.42547272811295
0.5, 2, 4, -21.605493274386728
0.5, 2, 5, -20.964571751055683
0.5, 2, 6, -22.149057623090403
0.5, 2, 7, -22.414887477739523
0.5, 2, 8, -21.840950163755018
0.5, 2, 9, -21.023801384418014
0.5, 3, 0, -19.9252266676186
0.5, 3, 1, -19.553068689919048
0.5, 3, 2, -20.56841514011932
0.5, 3, 3, -20.52474047169286
0.5, 3, 4, -21.253050050780825
0.5, 3, 5, -18.973118189226156
0.5, 3, 6, -21.49170042685527
0.5, 3, 7, -19.394631685419704
0.5, 3, 8, -20.265247343066807
0.5, 3, 9, -19.932993263087628
0.5, 4, 0, -19.052365898722684
0.5, 4, 1, -19.134343424614418
0.5, 4, 2, -19.85142184326241
0.5, 4, 3, -19.57454445587663
0.5, 4, 4, -19.97315132864683
0.5, 4, 5, -19.47766593937424
0.5, 4, 6, -20.085817320770605
0.5, 4, 7, -19.939875458725243
0.5, 4, 8, -19.640815515575028
0.5, 4, 9, -19.223851283987077
1.5, 1, 0, -57.29213093457114
1.5, 1, 1, -62.98269769429561
1.5, 1, 2, -61.031810045882786
1.5, 1, 3, -58.34182584891022
1.5, 1, 4, -64.67132941461823
1.5, 1, 5, -59.37684590040455
1.5, 1, 6, -59.304912185522696
1.5, 1, 7, -59.78074591850943
1.5, 1, 8, -59.800170125377804
1.5, 1, 9, -58.206593184048515
1.5, 2, 0, -34.80776539176678
1.5, 2, 1, -35.73710264429309
1.5, 2, 2, -35.84152662467211
1.5, 2, 3, -35.79322040415546
1.5, 2, 4, -35.657985218701306
1.5, 2, 5, -33.762950098708664
1.5, 2, 6, -35.326815886114694
1.5, 2, 7, -34.67668008285973
1.5, 2, 8, -33.148942102155715
1.5, 2, 9, -36.54080913187972
1.5, 3, 0, -30.74744622594137
1.5, 3, 1, -30.726219266305026
1.5, 3, 2, -30.25737039398799
1.5, 3, 3, -30.307603969459016
1.5, 3, 4, -30.479077327997523
1.5, 3, 5, -30.391536615894996
1.5, 3, 6, -27.92438556516156
1.5, 3, 7, -29.938878242787233
1.5, 3, 8, -29.138669498765363
1.5, 3, 9, -30.55727949790339
1.5, 4, 0, -29.44789593689673
1.5, 4, 1, -29.377177758109447
1.5, 4, 2, -30.008427043395415
1.5, 4, 3, -29.825943637438588
1.5, 4, 4, -28.972352859251608
1.5, 4, 5, -29.765983015178698
1.5, 4, 6, -28.590784528839492
1.5, 4, 7, -29.87352670129011
1.5, 4, 8, -28.455363190186954
1.5, 4, 9, -29.827645654778756
2.5, 1, 0, -94.76143908384606
2.5, 1, 1, -96.20716760791188
2.5, 1, 2, -102.37742166606789
2.5, 1, 3, -93.06247936248857
2.5, 1, 4, -95.60450236606714
2.5, 1, 5, -97.34636603168761
2.5, 1, 6, -94.55449326848654
2.5, 1, 7, -92.91997996376344
2.5, 1, 8, -90.92300609455852
2.5, 1, 9, -95.46870833021404
2.5, 2, 0, -50.46992152808491
2.5, 2, 1, -53.39749105466776
2.5, 2, 2, -52.08908920997783
2.5, 2, 3, -50.293574117678986
2.5, 2, 4, -50.27106311486404
2.5, 2, 5, -54.774439372135475
2.5, 2, 6, -49.5385229302219
2.5, 2, 7, -52.98363069632977
2.5, 2, 8, -53.21164548653204
2.5, 2, 9, -53.58167103737102
2.5, 3, 0, -41.94008531095999
2.5, 3, 1, -42.45838644394271
2.5, 3, 2, -41.71601222000966
2.5, 3, 3, -41.8116238649733
2.5, 3, 4, -41.06210190182834
2.5, 3, 5, -43.49471570419108
2.5, 3, 6, -39.455935430514856
2.5, 3, 7, -42.41013217899687
2.5, 3, 8, -40.762747174172105
2.5, 3, 9, -44.73346835403427
2.5, 4, 0, -42.2734059985596
2.5, 4, 1, -40.25871258592516
2.5, 4, 2, -39.7923777721838
2.5, 4, 3, -41.304864236996494
2.5, 4, 4, -38.5018306945008
2.5, 4, 5, -41.47180644516354
2.5, 4, 6, -37.9776790843145
2.5, 4, 7, -41.05953288421098
2.5, 4, 8, -39.09159515895512
2.5, 4, 9, -42.59509159123492
3.5, 1, 0, -143.3119947738665
3.5, 1, 1, -145.8099461169078
3.5, 1, 2, -153.13659473422427
3.5, 1, 3, -138.64449634495116
3.5, 1, 4, -150.25967747177364
3.5, 1, 5, -151.56167998219982
3.5, 1, 6, -150.87497119046526
3.5, 1, 7, -144.71840025525134
3.5, 1, 8, -145.72692835205453
3.5, 1, 9, -142.63266881376165
3.5, 2, 0, -76.73594109067729
3.5, 2, 1, -79.08661292693917
3.5, 2, 2, -78.06199542136537
3.5, 2, 3, -74.01687966810705
3.5, 2, 4, -75.08306168178885
3.5, 2, 5, -82.52108681331367
3.5, 2, 6, -74.16500193018152
3.5, 2, 7, -79.32103411627301
3.5, 2, 8, -77.4311630868237
3.5, 2, 9, -78.00334414778142
3.5, 3, 0, -60.706216576931084
3.5, 3, 1, -60.312749463977596
3.5, 3, 2, -59.62485208782884
3.5, 3, 3, -61.747989194537084
3.5, 3, 4, -57.14234876323259
3.5, 3, 5, -67.01554108240644
3.5, 3, 6, -58.21046626302084
3.5, 3, 7, -59.24286295087372
3.5, 3, 8, -57.73987707681978
3.5, 3, 9, -66.02666727250202
3.5, 4, 0, -61.12185425009541
3.5, 4, 1, -60.44756876007223
3.5, 4, 2, -58.87783342906249
3.5, 4, 3, -56.78886108298102
