comm_radius, seed, centralized, reward
3.0, 0, True, -33.60597994353752
3.0, 0, False, -64.6364428116266
3.0, 1, True, -33.26110674537485
3.0, 1, False, -65.96238979505604
3.0, 2, True, -33.63227655253471
3.0, 2, False, -65.10877780910305
3.0, 3, True, -33.1594686298253
3.0, 3, False, -64.74050993032506
3.0, 4, True, -34.138395075429855
3.0, 4, False, -65.2000191528394
3.0, 5, True, -32.96713151561907
3.0, 5, False, -63.79519576540692
3.0, 6, True, -33.13992895197673
3.0, 6, False, -63.995830141678596
3.0, 7, True, -32.82377956715201
3.0, 7, False, -64.29070099779057
3.0, 8, True, -33.36917905633668
3.0, 8, False, -64.80276242787016
3.0, 9, True, -34.02065001285037
3.0, 9, False, -63.80385202762877
2.0, 0, True, -34.019030799581884
2.0, 0, False, -209.95055687909604
2.0, 1, True, -33.661147149355756
2.0, 1, False, -210.42396053670714
2.0, 2, True, -34.106323058203174
2.0, 2, False, -211.7989615694843
2.0, 3, True, -33.58940416807839
2.0, 3, False, -212.21234858441403
2.0, 4, True, -34.573937150089556
2.0, 4, False, -210.63757781199746
2.0, 5, True, -33.382547483673086
2.0, 5, False, -207.5242585567997
2.0, 6, True, -33.56087421999242
2.0, 6, False, -209.87821256503025
2.0, 7, True, -33.227708312087394
2.0, 7, False, -209.6608122512793
2.0, 8, True, -33.77486005569467
2.0, 8, False, -210.14993906197373
2.0, 9, True, -34.42976519762014
2.0, 9, False, -208.08450508893492
1.5, 0, True, -34.32342169905576
1.5, 0, False, -848.5470872130807
1.5, 1, True, -33.54362229003466
1.5, 1, False, -842.4609620824343
1.5, 2, True, -34.20829192423922
1.5, 2, False, -860.9288087983177
1.5, 3, True, -33.85091664475432
1.5, 3, False, -852.2437622716905
1.5, 4, True, -34.83367194980625
1.5, 4, False, -862.741684443873
1.5, 5, True, -34.013652697925004
1.5, 5, False, -850.1580337872277
1.5, 6, True, -34.028087991086664
1.5, 6, False, -837.3657928610131
1.5, 7, True, -33.46412908721393
1.5, 7, False, -863.6972475187367
1.5, 8, True, -34.00785909165293
1.5, 8, False, -849.3858129566564
1.5, 9, True, -34.661870792646596
1.5, 9, False, -860.2578836148898
1.0, 0, True, -34.005232621371675
1.0, 0, False, -3370.599110068447
1.0, 1, True, -34.3919161280854
1.0, 1, False, -3400.384524499016
1.0, 2, True, -33.89934683320907
1.0, 2, False, -3361.7050802383187
1.0, 3, True, -32.38626696414948
1.0, 3, False, -3351.524055413299
1.0, 4, True, -33.43238834229148
1.0, 4, False, -3290.94887612653
1.0, 5, True, -34.232127490823316
1.0, 5, False, -3314.177961767793
1.0, 6, True, -32.88733132638107
1.0, 6, False, -3322.095702314563
1.0, 7, True, -33.15288073289458
1.0, 7, False, -3295.543804617082
1.0, 8, True, -33.557590867182896
1.0, 8, False, -3401.472456076329
1.0, 9, True, -34.692799373693305
1.0, 9, False, -3373.151571952956
