k, seed, comm_radius, reward
1, 0, 3.0, -53.824645505808974
1, 0, 2.0, -83.33345943206281
1, 0, 1.5, -148.4390602724242
1, 0, 1.0, -319.44988973802987
1, 1, 3.0, -56.43469104926932
1, 1, 2.0, -76.41585951987629
1, 1, 1.5, -131.27547616090243
1, 1, 1.0, -251.54184813715068
1, 2, 3.0, -62.495518667649435
1, 2, 2.0, -92.27792120496066
1, 2, 1.5, -182.39140167596486
1, 2, 1.0, -297.17054050845223
1, 3, 3.0, -57.59027923964673
1, 3, 2.0, -77.81914732983431
1, 3, 1.5, -138.77508231332007
1, 3, 1.0, -271.70333763574035
1, 4, 3.0, -60.73984608524925
1, 4, 2.0, -85.40331760039007
1, 4, 1.5, -151.98796735902604
1, 4, 1.0, -360.86279306486193
1, 5, 3.0, -59.30670196710349
1, 5, 2.0, -81.5455192834418
1, 5, 1.5, -152.3080383760239
1, 5, 1.0, -349.09624012156553
1, 6, 3.0, -56.836437386197176
1, 6, 2.0, -73.05622381745872
1, 6, 1.5, -141.89160325882827
1, 6, 1.0, -276.53379918716894
1, 7, 3.0, -60.75304144616084
1, 7, 2.0, -82.72613699768996
1, 7, 1.5, -155.0440352852303
1, 7, 1.0, -287.41358849973483
1, 8, 3.0, -61.74352401684314
1, 8, 2.0, -85.4281568301428
1, 8, 1.5, -152.17851869491213
1, 8, 1.0, -308.6506025752421
1, 9, 3.0, -59.44945399315064
1, 9, 2.0, -82.684675598043
1, 9, 1.5, -160.1678308205342
1, 9, 1.0, -345.22769989446203
2, 0, 3.0, -51.316034325838146
2, 0, 2.0, -56.214731165359694
2, 0, 1.5, -77.69221267011953
2, 0, 1.0, -201.7859997831517
2, 1, 3.0, -51.922200860850204
2, 1, 2.0, -59.829036317647805
2, 1, 1.5, -73.16242747410159
2, 1, 1.0, -146.83324535248585
2, 2, 3.0, -57.269299032974985
2, 2, 2.0, -64.67914192190653
2, 2, 1.5, -90.3456444574888
2, 2, 1.0, -169.4674200453505
2, 3, 3.0, -55.71556161966889
2, 3, 2.0, -60.82229170992131
2, 3, 1.5, -79.71513554529223
2, 3, 1.0, -158.84384859792848
2, 4, 3.0, -55.512431888260195
2, 4, 2.0, -58.96854735695634
2, 4, 1.5, -77.67603099895169
2, 4, 1.0, -186.7017128704081
2, 5, 3.0, -55.85962948684234
2, 5, 2.0, -61.15626409004608
2, 5, 1.5, -78.09091147376812
2, 5, 1.0, -178.00841609910213
2, 6, 3.0, -53.807924132179835
2, 6, 2.0, -58.86273077994365
2, 6, 1.5, -80.51458197603395
2, 6, 1.0, -148.29608126924867
2, 7, 3.0, -57.03416709918092
2, 7, 2.0, -61.61337374342027
2, 7, 1.5, -79.5636087126342
2, 7, 1.0, -178.9133662716222
2, 8, 3.0, -58.236652395200494
2, 8, 2.0, -63.4491040628901
2, 8, 1.5, -81.61552747327553
2, 8, 1.0, -173.877694835211
2, 9, 3.0, -55.19092368331955
2, 9, 2.0, -62.01501274092838
2, 9, 1.5, -77.32694657687861
2, 9, 1.0, -189.468362808648
3, 0, 3.0, -50.06835782947799
3, 0, 2.0, -52.0055940296966
3, 0, 1.5, -60.39161375300265
3, 0, 1.0, -126.53314756477421
3, 1, 3.0, -51.536107251018976
3, 1, 2.0, -53.94360838635153
3, 1, 1.5, -62.66714506162996
