k, n_agents, reward
1, 50, -319.80587027649506, 5.684341886080802e-14
1, 100, -492.12022704774455, 6.844854043943256e-14
1, 150, -915.4057635411979, 1.7993604792120223e-08
1, 200, -1590.0710760021725, 2.0568840543061577e-07
1, 250, -2609.8944611084817, 0.20187853116588028
2, 50, -151.2956686633841, 2.6961092324792364e-07
2, 100, -260.1699197834481, 2.521220901081242e-07
2, 150, -570.5130459651994, 4.545833307030627e-07
2, 200, -1133.8038371198654, 3.719707407434866e-06
2, 250, -1920.4878030054829, 0.000591295858710477
3, 50, -101.26147432710142, 9.043138199738023e-08
3, 100, -161.86534917630868, 3.121021354971091e-07
3, 150, -391.5303883168649, 1.0187779902629701e-06
3, 200, -840.0998688888042, 0.0006903486601959455
3, 250, -1521.415298755905, 5.504759090737461e-06
4, 50, -103.59011014668968, 5.788794237175581e-07
4, 100, -159.99725560778944, 4.225180365636876e-07
4, 150, -377.7787583962748, 6.511579789542751e-07
4, 200, -820.946421118722, 1.6710016156159943e-06
4, 250, -1503.2701636433933, 0.0004975588012798678
