k, n_agents, reward
1, 50, -515.9994524147301, 313.5784168250287
1, 100, -339.18597907859805, 270.6093256284251
1, 150, -373.9424555273811, 258.21659520982405
1, 200, -324.27758713439187, 149.89792028439558
1, 250, -303.7102669285242, 164.77666566978914
2, 50, -432.67723292200264, 295.19232537999255
2, 100, -250.5246206481408, 259.75816841720393
2, 150, -293.4102778814613, 198.0793779562355
2, 200, -229.96628904615636, 105.04130817128582
2, 250, -224.24280596005173, 102.92725510549074
3, 50, -261.53031903174156, 186.02064288640778
3, 100, -167.28968407370834, 216.3604627074367
3, 150, -167.02956962505803, 83.76812642239042
3, 200, -139.0463238534638, 47.62971905724153
3, 250, -147.61418367651018, 53.20762942603185
4, 50, -210.53939437320545, 149.4274268403402
4, 100, -151.29911558786094, 190.09902166245158
4, 150, -147.90153299056595, 70.80005556101784
4, 200, -120.93409450508257, 39.72503429860774
4, 250, -123.71214447545319, 36.27777683203001
