k, comm_radius, reward
1, 3.0, -59.21268253585733, 2.1464563100367138
1, 2.5, -59.51009474930792, 2.015259979790935
1, 2.0, -55.539461229140635, 2.364577214407242
1, 1.5, -32.91454762200742, 3.1709733602367534
1, 1.0, -219.52871236543464, 104.82145069698902
2, 3.0, -32.66627198162969, 1.9875713990197326
2, 2.5, -32.090145255814335, 2.137507998634457
2, 2.0, -32.21699202001504, 2.5253569421360993
2, 1.5, -34.68815578138647, 3.0250571224583553
2, 1.0, -61.214074584550175, 16.160348794587275
3, 3.0, -27.186178966865832, 1.657503452773787
3, 2.5, -28.238573649442355, 1.9818537735454143
3, 2.0, -33.410643106421126, 2.475505408401321
3, 1.5, -39.7409119247203, 2.597650552152681
3, 1.0, -57.21051089301509, 6.2210664714230735
4, 3.0, -22.331405509847755, 1.4016176657423494
4, 2.5, -22.435513450618675, 1.609621217944536
4, 2.0, -25.398366741119407, 1.78020746519806
4, 1.5, -31.005180180966896, 2.2514353675684524
4, 1.0, -51.959262367669, 5.4286423081131625
