k, n_agents, reward
1, 50, -118.47700102973424, 2.829080116627891
1, 100, -521.5632582128512, 11.025262267025093
1, 150, -1271.0765153641646, 9.447393153637416
1, 200, -2377.7382765216325, 14.951456660045539
1, 250, -3862.723449430478, 20.12028294148971
2, 50, -31.652134982021238, 0.6585128493984621
2, 100, -250.1052178398025, 2.5781146333911424
2, 150, -755.883793427843, 3.220308593253509
2, 200, -1631.2209066364378, 5.627547247566294
2, 250, -2909.0549971868504, 6.942524108535551
3, 50, -56.89005445367447, 2.584140232704601
3, 100, -268.51114237623034, 9.866790193933344
3, 150, -700.5956226731324, 16.534554286577784
3, 200, -1513.0570331522563, 59.39924582994151
3, 250, -2705.272586325281, 51.920939846139845
4, 50, -41.37115847652241, 3.332188862335086
4, 100, -279.17643457073206, 7.205915564442801
4, 150, -776.232404044523, 13.338037679965318
4, 200, -1626.1997921786578, 17.886173969848983
4, 250, -2854.7730872313628, 22.781313586552614
