k, n_agents, reward
1, 50, -417.5758550065975, 4.245686782019623
1, 100, -417.0877345487941, 2.7038297762833365
1, 150, -416.03559031293787, 1.8782339910679973
1, 200, -413.1362102977306, 1.7721692893275545
1, 250, -411.659904018203, 2.2822452281374455
2, 50, -354.9157165960293, 2.1631449596296517
2, 100, -342.07917479828274, 1.421874265088259
2, 150, -340.3932960867228, 1.7168093483389089
2, 200, -337.7866494824602, 2.33812045802479
2, 250, -336.27193654083555, 2.2481818654146535
3, 50, -307.89861396425226, 1.4105660086625311
3, 100, -300.4492393599006, 0.7847403132360276
3, 150, -301.4138733278844, 0.9500286880116414
3, 200, -302.5407872777907, 1.3260667936453543
3, 250, -304.88121981712874, 1.8559800965434352
4, 50, -304.6989786007714, 1.5138941525812195
4, 100, -298.5141988347815, 0.7862738951430897
4, 150, -297.7884208232027, 0.7324720366165856
4, 200, -298.3113623873153, 0.6883085354288921
4, 250, -298.02993863662783, 0.8569005433834948
