v_max, k, reward
0.5, 1, -75.7589566817264, 15.040145147292044
0.5, 2, -27.528127692188104, 2.540209630457678
0.5, 3, -29.674719242359338, 2.3167447480246457
0.5, 4, -26.215221919078044, 1.7282498342621042
1.5, 1, -105.81148622102815, 27.742893266433263
1.5, 2, -32.52463489981206, 3.5469588661370337
1.5, 3, -34.25344666336201, 2.6518969812354602
1.5, 4, -30.255762480203845, 2.1784857923885044
2.5, 1, -165.1890382065069, 64.04005791765266
2.5, 2, -46.885128565628165, 7.439666218274575
2.5, 3, -46.48698132858952, 4.674490791385129
2.5, 4, -41.803232096369314, 3.9630926110702682
3.5, 1, -295.59344650066834, 157.14927588172316
3.5, 2, -78.65727198096087, 21.496028445898865
3.5, 3, -71.42617976443442, 9.029949980927453
3.5, 4, -65.45088345569478, 7.498809846024472
4.5, 1, -525.7579575895259, 223.564282320284
4.5, 2, -125.41581950674485, 21.30071820009405
4.5, 3, -112.80128956953561, 12.117508925029998
4.5, 4, -105.9601384137816, 10.483523975256281
