v_max, k, reward
0.5, 1, -64.79077577056519, 12.503306695197436
0.5, 2, -14.66803368974717, 1.988547055249078
0.5, 3, -12.860015266219387, 1.2973511674246683
0.5, 4, -13.177925595316381, 1.2368561081508176
1.5, 1, -95.58255496852495, 33.782954496729396
1.5, 2, -23.188462829164553, 3.7532463334828043
1.5, 3, -17.913956273960707, 1.4732860779971126
1.5, 4, -17.200100027772592, 1.4663845085595903
2.5, 1, -176.50315832981056, 88.6107352373286
2.5, 2, -37.81020596543735, 9.121482324682102
2.5, 3, -30.860300622389627, 2.840865325797079
2.5, 4, -29.054727362029958, 2.220831228901743
3.5, 1, -309.29824771359756, 168.94128291096123
3.5, 2, -65.28561756454224, 16.24687625874826
3.5, 3, -53.4537976010095, 4.843193449938329
3.5, 4, -50.23694797412249, 4.2641090482739035
4.5, 1, -521.53800642789, 299.6815450872625
4.5, 2, -134.64770352007477, 86.34564752969176
4.5, 3, -110.41869582254655, 71.99955923054607
4.5, 4, -91.79832209460588, 36.11374109841934
