v_max, k, seed, reward
0.5, 1, 0, -179.92928103231648
0.5, 1, 1, -211.88160560415423
0.5, 1, 2, -219.6278476068347
0.5, 1, 3, -210.58244256402136
0.5, 1, 4, -188.57281211212083
0.5, 1, 5, -240.64360657870438
0.5, 1, 6, -194.23750237337973
0.5, 1, 7, -245.3723504895906
0.5, 1, 8, -220.62729719292673
0.5, 1, 9, -188.4995208847188
0.5, 2, 0, -158.66465911869423
0.5, 2, 1, -148.45612770369934
0.5, 2, 2, -180.81638033778376
0.5, 2, 3, -170.6634450068505
0.5, 2, 4, -187.601814052921
0.5, 2, 5, -189.41386539952777
0.5, 2, 6, -166.37990623066173
0.5, 2, 7, -167.20524336504027
0.5, 2, 8, -184.65769567473004
0.5, 2, 9, -174.63317226642573
0.5, 3, 0, -91.73037631384582
0.5, 3, 1, -94.2116913745178
0.5, 3, 2, -93.4212035679694
0.5, 3, 3, -84.36788294253549
0.5, 3, 4, -99.83037188437503
0.5, 3, 5, -105.90210465498285
0.5, 3, 6, -92.30374828655637
0.5, 3, 7, -93.12345593147906
0.5, 3, 8, -95.13879438124323
0.5, 3, 9, -102.54408731700669
0.5, 4, 0, -79.2210735365686
0.5, 4, 1, -77.4641335027674
0.5, 4, 2, -72.4255723853229
0.5, 4, 3, -70.5895723159693
0.5, 4, 4, -78.49147241306585
0.5, 4, 5, -85.43216482511949
0.5, 4, 6, -80.77563758115932
0.5, 4, 7, -79.3011155000604
0.5, 4, 8, -82.1228018118351
0.5, 4, 9, -80.48352314157864
1.5, 1, 0, -343.11057503678137
1.5, 1, 1, -245.03953885637566
1.5, 1, 2, -345.46087104983127
1.5, 1, 3, -337.3843307023934
1.5, 1, 4, -332.12704799494907
1.5, 1, 5, -376.85407310831636
1.5, 1, 6, -325.44956123611126
1.5, 1, 7, -347.08091726397254
1.5, 1, 8, -384.6233229216478
1.5, 1, 9, -341.3509446164364
1.5, 2, 0, -180.0398852234018
1.5, 2, 1, -163.2175909828026
1.5, 2, 2, -192.21883827937245
1.5, 2, 3, -193.42710726411934
1.5, 2, 4, -215.31569265777952
1.5, 2, 5, -206.96079924529334
1.5, 2, 6, -186.61869619258516
1.5, 2, 7, -177.6422717187536
1.5, 2, 8, -220.05094481124516
1.5, 2, 9, -199.4411858664264
1.5, 3, 0, -106.91159070417397
1.5, 3, 1, -101.10414318879067
1.5, 3, 2, -106.48257663805182
1.5, 3, 3, -94.46508521347751
1.5, 3, 4, -120.14925663371166
1.5, 3, 5, -118.5847927815538
1.5, 3, 6, -97.79200573062516
1.5, 3, 7, -99.08479779677171
