v_max, k, seed, reward
0.5, 1, 0, -105.05763695557737
0.5, 1, 1, -119.99522242643937
0.5, 1, 2, -142.98353943945312
0.5, 1, 3, -129.11069851602815
0.5, 1, 4, -115.59974043991704
0.5, 1, 5, -150.21019920204347
0.5, 1, 6, -113.95848338954359
0.5, 1, 7, -152.26184529015072
0.5, 1, 8, -131.79917451011755
0.5, 1, 9, -132.9131397229757
0.5, 2, 0, -84.42143780186379
0.5, 2, 1, -80.77869087045092
0.5, 2, 2, -94.31231310936258
0.5, 2, 3, -82.77379409037194
0.5, 2, 4, -85.3825566293178
0.5, 2, 5, -99.53630928960959
0.5, 2, 6, -89.44915447398239
0.5, 2, 7, -84.23199993281794
0.5, 2, 8, -79.54267616611472
0.5, 2, 9, -79.61711290208902
0.5, 3, 0, -53.48566429004219
0.5, 3, 1, -50.32425058219125
0.5, 3, 2, -56.627907321581475
0.5, 3, 3, -51.35799044260832
0.5, 3, 4, -53.90687070052377
0.5, 3, 5, -56.644439097426854
0.5, 3, 6, -51.00895579022277
0.5, 3, 7, -51.92944472300866
0.5, 3, 8, -49.665275006650226
0.5, 3, 9, -49.49033231059651
0.5, 4, 0, -47.77842699589566
0.5, 4, 1, -44.69560496192654
0.5, 4, 2, -52.05866942463784
0.5, 4, 3, -45.25080683956352
0.5, 4, 4, -42.2291222427415
0.5, 4, 5, -44.4841495693903
0.5, 4, 6, -43.973373229732424
0.5, 4, 7, -42.88659680929775
0.5, 4, 8, -44.36846934670136
0.5, 4, 9, -41.77643200742743
1.5, 1, 0, -171.7092107460732
1.5, 1, 1, -150.0671331467376
1.5, 1, 2, -171.62511356254214
1.5, 1, 3, -170.39513467488035
1.5, 1, 4, -201.68768188959774
1.5, 1, 5, -201.76761413710543
1.5, 1, 6, -171.85944702524725
1.5, 1, 7, -182.73394484905484
1.5, 1, 8, -202.22447261807767
1.5, 1, 9, -189.97889834617192
1.5, 2, 0, -105.74202418876573
1.5, 2, 1, -96.63658076652153
1.5, 2, 2, -109.49302308776639
1.5, 2, 3, -98.37753831436063
1.5, 2, 4, -124.65993614865386
1.5, 2, 5, -128.21238311362168
1.5, 2, 6, -96.75028273247958
1.5, 2, 7, -102.31122643154046
1.5, 2, 8, -111.34444815701814
1.5, 2, 9, -106.71702917009137
1.5, 3, 0, -68.92063147896079
